item_id,src,hypo_A,hypo_B,label,
item_0001,"If you choose to edit the connection file, remember that all other pages that use the connection file will also be affected by the changes you make.",إذا اخترت تحرير ملف الاتصال، فتذكّر أن جميع الصفحات الأخرى التي تستخدم ملف الاتصال ستتأثر أيضًا بالتغييرات التي تجريها.,إذا اخترت تعديل ملف الاتصال، فتذكر أن جميع الصفحات الأخرى التي تستخدم هذا الملف ستتأثر أيضاً بالتغييرات التي تجريها.,B,
item_0002,"If you must do this, retest the existing queries to ensure that they still run or produce expected results, and rewrite the queries if necessary.",إذا توجب عليك القيام بذلك، فأعد اختبار الاستعلامات الحالية لضمان استمرار تشغيلها أو تقديمها للنتائج المتوقعة، وأعد كتابتها إذا لزم الأمر.,إذا تعيّن عليك القيام بذلك، فأعد اختبار الاستعلامات الحالية للتأكد من أنها لا تزال تعمل أو تُنتج النتائج المتوقعة، وأعد صياغة الاستعلامات عند الضرورة.,B,
item_0003,"He had made it to the third or fourth paragraph when the man turned slowly toward him, gave him a vicious stare, and jerked the paper out of view.",كان قد وصل إلى الفقرة الثالثة أو الرابعة حين التفت إليه الرجل ببطء، ورمقه بنظرة شرسة، ثم خطف الصحيفة بعيدًا عن ناظريه.,كان قد وصل في القراءة إلى الفقرة الثالثة أو الرابعة عندما التفت الرجل نحوه ببطء، ورمقه بنظرة شريرة، ثم نتر الصحيفة ليحجبها عن نظره.,A,
item_0004,"But now that the scene was taking place, he felt quite disappointed, even angry.",ولكن الآن، وقد أصبح المشهد واقعاً، شعر بخيبة أمل كبيرة، بل وحتى بالغضب.,لكن الآن، وقد أخذ المشهد يتكشف أمامه، شعر بخيبة أمل كبيرة، بل بالغضب.,B,
item_0005,"It seemed to Quinn that Stillman's body had not been used for a long time and that all its functions had been relearned, so that motion had become a conscious process, each movement broken down into its component submovements, with the result that all flow and spontaneity had been lost.",بدا لكوين أن جسد ستيلمان لم يُستعمل منذ زمن طويل، وأن وظائفه كلها قد أُعيد تعلّمها، بحيث غدت الحركة عملية واعية، تُجزَّأ فيها كل حركة إلى حركاتها الفرعية المكوِّنة، وكانت النتيجة أن كل انسياب وتلقائية قد ضاعا.,بدا لكوين أن جسد ستيلمان لم يُستخدَم منذ فترة طويلة، وأن جميع وظائفه قد أُعيد تعلّمها، حتى صارت الحركة عملية واعية تنقسم فيها كل حركة إلى حركاتها الجزئية المكوّنة لها، مما أدى في النهاية إلى فقدان كل انسيابية وعفوية.,tie,
item_0006,"Users without licenses will be able to view and print the components and the data in them, but they can not interact with or make changes to them.",سيتمكن المستخدمون الذين لا يملكون تراخيص من عرض المكونات والبيانات الموجودة فيها وطباعتها، ولكن لن يكون بمقدورهم التفاعل معها أو إجراء تغييرات عليها.,سيتمكن المستخدمون غير المرخّصين من عرض المكوّنات والبيانات الموجودة فيها وطباعتها، لكن لن يتمكنوا من التفاعل معها أو إجراء أي تغييرات عليها.,tie,
item_0007,"Ingenious, really, how many ways Muggles have found of getting along without magic.",من العبقري حقاً، كثرة الطرق التي ابتكرها العامة لتدبر أمورهم دون سحر.,إنه لأمرٌ عبقريّ حقًا، كم ابتكر العامّة من طرائق لتدبير أمورهم من دون سحر.,B,
item_0008,"Thank you very much, Commissioner.",شكرًا جزيلًا، سعادة المفوض.,شكراً جزيلاً لك، سيادة المفوض.,tie,
item_0009,"Like HTML, XML makes use of tags and attributes, but while HTML specifies what each tag and attribute means (and thus how the data between them will look in a browser), XML uses the tags only to delimit pieces of data, and leaves the interpretation of the data completely to the application that reads it.",على غرار لغة HTML، تستخدم لغة XML الوسوم والسمات، ولكن في حين تحدد HTML معنى كل وسم وسمة (وبالتالي كيفية ظهور البيانات بينهما في المتصفح)، فإن XML تستخدم الوسوم فقط لتحديد حدود أجزاء البيانات، وتترك تفسير هذه البيانات بالكامل للتطبيق الذي يقرأها.,مثل HTML، تستخدم XML الوسوم والسمات، لكن في حين تحدد HTML معنى كل وسم وسمة (وبالتالي كيفية عرض البيانات الموجودة بينها في المتصفح)، لا تستخدم XML الوسوم إلا لتحديد حدود أجزاء البيانات، وتترك تفسير هذه البيانات بالكامل للتطبيق الذي يقرؤها.,B,
item_0010,"I well remember what intelligent, informed people were saying in the last years of the Weimar Republic, what they told one another in the first days after Hindenburg had brought in Hitler.",أذكر جيدًا ما كان يقوله أناس أذكياء ومطّلعون في السنوات الأخيرة من جمهورية فايمار، وما كانوا يحدّث به بعضهم بعضًا في الأيام الأولى بعدما أتى هيندنبورغ بهتلر إلى السلطة.,أذكر جيداً ما كان يقوله العقلاء والمطلعون في السنوات الأخيرة من جمهورية فايمار، وما تداوله بعضهم مع بعض في الأيام الأولى التي تلت تنصيب هيندنبورغ لهتلر.,B,
item_0011,This broke everybody up.,جعل هذا الجميع ينفجرون ضحكاً.,جعل هذا الجميع ينفجرون ضحكًا.,tie,
item_0012,"As he opened the door that would lead him into the lobby, he gave himself one last word of advice.",بينما كان يفتح الباب الذي سيقوده إلى الردهة، وجه لنفسه نصيحة أخيرة.,وهو يفتح الباب الذي سيفضي به إلى الردهة، أسدى إلى نفسه نصيحة أخيرة.,B,
item_0013,"Supposing he was still alive in another four weeks, what would happen if he didn't turn up at Hogwarts?",على فرض أنه ظلّ على قيد الحياة بعد أربعة أسابيع أخرى، فماذا سيحدث إن لم يظهر في هوغوورتس؟,بافتراض أنه لا يزال على قيد الحياة بعد أربعة أسابيع أخرى، ماذا سيحدث لو لم يظهر في هوجورتس؟,B,
