item_id,src,hypo_A,hypo_B,label
item_0001,"Let us hope, therefore, that the proposals of the Commission will be sufficient to make sure this job will be done effectively.",因此，让我们希望委员会的提案足以确保这项工作得以有效完成。,因此，让我们期待委员会的提案足以确保这项工作能够高效完成。,
item_0002,If you apply for a skilled migrant workers visa and it is accepted do you have to find work in the same sector as your skills on your application or can you take up other work if you can't find something in your own field.,如果你申请技术移民工人签证并获得批准，是否必须在申请中所列技能对应的同一行业找工作，还是在自己的专业领域找不到工作时也可以从事其他工作？,如果您申请的技术移民签证获批，您是必须从事与申请中所填专业技能相关的行业，还是说在找不到对口工作的情况下也可以从事其他工作？,
item_0003,"The term renaissance is in essence a modern one that came into currency in the 19th century, in the work of historians such as Jacob Burckhardt.",“文艺复兴”一词本质上是一个现代术语，它是在19世纪雅各布·布克哈特等历史学家的著作中开始流行起来的。,“文艺复兴”一词本质上是一个现代概念，于19世纪在雅各布·布克哈特等历史学家的著作中才开始流行起来。,
item_0004,"Wires sometimes get crossed. A person tries to call a number, and even though he dials correctly, he gets someone else.",电话线路有时会发生串线。一个人试着拨打某个号码，尽管号码拨得完全正确，却接通了别人。,电话线路有时会串线。有人想拨打某个号码，明明拨对了，却接通了另一个人。,
item_0005,"It mostly has to do with the authorship of the book. Who wrote it, and how it was written.",这主要与这本书的作者身份有关：是谁写的，以及是如何写成的。,这主要与这本书的作者身份有关：是谁写的，以及它是如何写成的。,
item_0006,"For now, analysts are hesitant to write off the service for dead.",目前，分析师们还不愿断定这项服务已经寿终正寝。,眼下，分析人士仍不愿轻易宣告这项服务已寿终正寝。,
item_0007,Should we all get together and make a conference call to Dominion like we did before or should I just call Jeff Davis myself?,我们是应该像以前那样大家聚在一起跟自治领开个电话会议，还是由我直接给杰夫·戴维斯打个电话？,我们要不要像之前那样一起给 Dominion 打电话开个电话会议，还是由我自己直接打给杰夫·戴维斯？,
item_0008,Take a look !!!,快来看看吧！！！,快来看看！！！,
item_0009,We soon get around to contemporary matters.,我们很快就转而谈到当代问题。,我们很快就聊起了当下的事。,
item_0010,"The RSPB’s stance has also brought it into conflict with many leading conservationists, from the author of the petition, Mark Avery, to the TV presenter Chris Packham.",英国皇家鸟类保护协会（RSPB）的这一立场，也使其与从请愿发起人马克·艾弗里到电视主持人克里斯·帕卡姆在内的众多知名自然保护主义者产生了冲突。,英国皇家鸟类保护协会的立场也使其与许多知名自然保护人士产生冲突，从请愿书发起人马克·埃弗里到电视节目主持人克里斯·帕克姆。,
item_0011,The prestigious IAEA (International Atomic Energy Agency) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects.,享有盛誉的国际原子能机构（IAEA）曾发布一份关于切尔诺贝利的早期报告，该报告基于俄罗斯方面提供的信息，并称未造成显著的健康影响。,享誉国际的国际原子能机构（IAEA）曾发布过一份关于切尔诺贝利事故的早期报告，该报告基于俄方提供的信息，声称事故并未造成显著的健康影响。,
item_0012,"For example, did you know that George Bush spent considerably more time in uniform than John Kerry?",例如，你知道乔治·布什穿军装服役的时间比约翰·克里长得多吗？,例如，你知道乔治·布什服兵役的时间其实比约翰·克里要长得多吗？,
item_0013,"If you would be so kind, could you possibly let me know of your status over the next couple of days?",如果您方便的话，能否告知我您接下来几天的情况？,如果您方便的话，能否在接下来的几天里告知我您的近况？,
item_0014,"When a chart contains multiple series or category fields, the fields that are closest to the data are referred to as inner fields.",当图表包含多个系列或类别字段时，最接近数据的字段被称为内层字段。,当图表包含多个系列或类别字段时，最接近数据的字段称为内部字段。,
item_0015,A team from the court managed to take his deposition before he died.,法院派出的人员设法在他去世前录取了他的宣誓证言。,法院的一个工作组在他去世前设法获取了他的宣誓证词。,
item_0016,1. I tested it out by making a figure boat,1. 我通过制作一艘模型船测试了它,1. 我做了一艘模型船试了试。,
item_0017,"At times I suspect that the world would be glad to see the last of its Christianity, and that it is the persistency of the Jews that prevents it.",有时我怀疑，这个世界巴不得彻底摆脱它的基督教，而阻止这一点的，正是犹太人的坚韧不息。,有时我怀疑，世人本乐见基督教的消亡，而正是犹太人的执着阻止了这一切。,
item_0018,"Barb does an AMAZING JOB, she is always learning new things on how to use her hands and body, to give every person an AWESOME MASSAGE, CALL TODAY AND SCHEDULE YOU MUST SEE HER, YOU WILL FALL IN LOVE SHE IS THE BEST OF THE BEST !",Barb 的按摩手艺简直太棒了！她一直在不断钻研如何更好地运用双手和肢体力量，只为让每个人都享受到无可挑剔的顶级按摩。今天就打电话预约吧，你一定要亲自来体验一下，绝对会彻底爱上她的服务，她就是业内天花板级别的存在！,Barb 的手法非常出色，她总是在不断学习如何更好地运用双手和身体，为每一位顾客带来极致的按摩体验。今天就打电话预约吧，你一定要亲自体验她的服务，你会爱上她的，她是最棒中的最棒！,
item_0019,"But Cid Hamete, the acknowledged author, never makes an appearance.",然而，公认的作者熙德·哈梅特却始终未曾露面。,但公认的作者西德·哈梅特却从未出场。,
item_0020,"James Eichelberger, a State Department political scientist who had been an account executive for J Walter Thompson, one of the world's largest advertising and public-relations firms, ""was sent to Cairo where he talked with Nasser and his confidants and produced a series of papers identifying the new government's problems and recommending policies to deal with them.""",美国国务院政治学者詹姆斯·艾歇尔伯格曾任全球最大广告与公关公司之一智威汤逊的客户总监，他“被派往开罗，与纳赛尔及其亲信面谈，并撰写了一系列报告，剖析了新政府面临的问题并提出了相应的应对政策”。,詹姆斯·艾克尔伯格是美国国务院的一名政治学专家，曾在全球最大的广告与公共关系公司之一智威汤逊担任客户主管，他“被派往开罗，在那里与纳赛尔及其亲信会谈，并撰写了一系列报告，分析新政府面临的问题，并提出应对这些问题的政策建议。”,
item_0021,"Ever since the first whispers about Google's IPO, most investors have feared that the stock would come public at such a ridiculously high price that, even with a spectacularly profitable business model and some nearly flawless execution, the price would be too high for investors to make a real profit.",自打谷歌首次公开募股（IPO）的传言悄然兴起，大多数投资者就一直心存担忧：其发行价怕是会高得离谱，以至于即便该公司拥有极佳的盈利模式和近乎完美的执行力，股价对投资者而言依然高不可攀，让人难以赚取真正的利润。,自从有关谷歌首次公开募股的消息最初传出以来，多数投资者就一直担心，其股票上市定价会高得离谱，以至于即便拥有极其盈利的商业模式和近乎无懈可击的执行力，股价也会高到让投资者难以获得真正的利润。,
item_0022,So Harry had been brought up by his dead mother's sister and her husband.,因此，哈利是由他已故母亲的姐姐和姨父抚养长大的。,所以哈利是由他已故母亲的姐姐和她丈夫抚养长大的。,
item_0023,"This was the body that Bush proclaimed was bringing ""stability"" to the region in fall of 1999.",这就是布什在1999年秋季声称为该地区带来“稳定”的机构。,这就是布什在1999年秋天宣称正在为该地区带来“稳定”的机构。,
item_0024,"These three little ones don't realize how lucky they are to have such a nice Dad, but I'm sure they'll find out soon.",这三个小家伙还没意识到有这样一位好爸爸是多么幸运，但我相信他们很快就会明白的。,这三个小家伙还没意识到自己有多幸运能有这么一位好爸爸，但我相信他们很快就会明白的。,
item_0025,"Simultaneously, New Delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihadis attempting to convert Kashmir into a second Afghanistan.",与此同时，新德里将确保该邦享有一定程度的自治，从而有助于削弱民众对那些企图把克什米尔变成第二个阿富汗的圣战分子的支持。,与此同时，新德里将确保该邦享有一定程度的自治权，这有助于切断民众对企图将克什米尔变成第二个阿富汗的圣战分子的支持。,
item_0026,"This was generally a grim place, filled with dust and people with nowhere to go, but now, with the rush hour at full force, it had been taken over by men and women with briefcases, books, and newspapers.",这里平时是个阴沉凄凉的地方，尘土弥漫，尽是无处可去的人；但此时正值上下班高峰，这里已被手里拿着公文包、书本和报纸的男女上班族所占领。,这里往常是个阴沉压抑的地方，满是尘土和无处可去的人；但此刻，随着高峰时段汹涌而至，提着公文包、拿着书本和报纸的男男女女已经占据了这里。,
item_0027,Then someone says that it can't be long now before the Russians write Arafat off.,随后有人说道，用不了多久，苏联人就会彻底放弃阿拉法特。,随后有人说，俄国人恐怕用不了多久就会放弃阿拉法特了。,
item_0028,"I was smoking my pipe quietly by my dismantled steamer, and saw them all cutting capers in the light, with their arms lifted high, when the stout man with mustaches came tearing down to the river, a tin pail in his hand, assured me that everybody was 'behaving splendidly, splendidly, dipped about a quart of water and tore back again.",我正守着那艘散了架的汽船，独自静静地抽着烟斗，看着他们一个个在火光中高举双手、手舞足蹈，这时那个留着八字胡的胖子手里拎着个铁皮桶，一路狂奔到河边，向我保证说大家“表现得真是太棒了，太棒了”，接着舀了大约一夸脱的水，又急吼吼地折返了回去。,我正静静地在那艘拆得七零八落的汽船旁抽着烟斗，看见他们一个个在火光中高举双臂、手舞足蹈；这时，那个留着八字胡的胖男人手提一只锡桶，飞也似的奔到河边，向我保证大家都“表现得好极了，好极了”，舀了大约一夸脱水，又飞也似的奔了回去。,
item_0029,The goal is for him to move on with his life and for us to move on as well.,目的是让他继续过自己的生活，也让我们能够继续向前。,我们的目标是让他重新开始自己的生活，而我们也能向前看，过好自己的生活。,
item_0030,"As we have discussed....effective Sep 13th, Anita will make the adjustments to Enron's inventory and pad gas to reflect the February 26th results.",正如我们所讨论的……自9月13日起，Anita将对安然公司的库存和垫底气进行调整，以反映2月26日的结果。,正如我们已讨论的，自9月13日起，Anita将对安然的库存和垫层气进行调整，以反映2月26日的结果。,
item_0031,"Not only did Bush not know who General Pervez Musharraf was, he seems to have confused coup-making with ""taking office,"" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military, then the world's strongest supporter of the Taliban, would bring ""stability!""",布什不仅不知道普尔维兹·穆沙拉夫将军是何许人也，似乎还把政变夺权混同于“执政”，甚至还妄言，推翻民选总理并扶持当时世界上最支持塔利班的巴基斯坦军方上台，竟能带来“稳定”！,布什不仅不知道佩尔韦兹·穆沙拉夫将军是谁，似乎还把发动政变同“上任”混为一谈；更有甚者，他还暗示，推翻一位民选总理，并让当时世界上塔利班最坚定支持者——巴基斯坦军方——掌权，会带来“稳定”！,
item_0032,"But nothing had ever come of it, and he had felt stupid, as though there were a blind spot in the center of his brain.",但一切始终毫无进展，这让他觉得自己愚蠢至极，仿佛大脑正中存在着一片盲区。,可这一切始终毫无结果，他也因此觉得自己愚笨，仿佛大脑正中央有一处盲点。,
item_0033,"Thank you very much, Commissioner.",非常感谢您，专员。,非常感谢您，专员。,
item_0034,But it did not give me the time of day.,但它对我根本不屑一顾。,但它对我根本不屑一顾。,
item_0035,"Well, I've got news for you, boy. I'm locking you up you're never going back to that school. never. and if you try and magic yourself out – they'll expel you!",哼，实话告诉你吧，小子。我要把你锁起来，你休想再回那所学校。门儿都没有。要是你敢用魔法溜出去——他们就会开除你！,哼，告诉你吧，小子。我要把你关起来，你永远也别想再回那所学校，永远别想。要是你敢施魔法逃出去——他们就会开除你！,
