item_id,doc_id,src,hypo_A,hypo_B,label,notes
best-pair-0001,44760-rus_Cyrl,"<p>Outside of court a never ending stream of flying monkeys has doxxed, harassed and threatened me and anyone they believe have ""helped"" me in anyway shape or form.<br>One flying monkey is the tiktoker Areej ""liberationluvr"" Hakim who jumped on my ex's public posts, and knows my ex privately.<br>I'll re-post some of their videos about me with a CW.<br>But I want to make it clear how much these people wish to erase me and my few accomplishments.<br>Here's violent threats about a witness in my case.</p>
<p>This tiktoker has made it their PRIMARY content to attempt to dox me, my friends and specifically witnesses to my illegal eviction.<br>In the video they made about me they attempt to paint me as ""not an activist"", ""not a hacker"" and ""just a grifter"".<br>ALL because my ex decided that splitting bills while navigating a break constituted domestic violence.<br>They then call their constant online lynch mob chasing me around ""activism"" and fund raise off MY pain and court process.<br>#ParentingWhileBlack</p>
<p>Areej ""solidarityluvr"" is known locally for posting tiktoks of herself stalking + harassing multiple of her ex's all on her tiktok+IG.<br>Areej maced a trans librarian, Canyon, ON camera as she got off work likely bc Canyon had to enforce BASIC library rules.<br>Areej cyberbullied Canyon for months after.<br>Canyon soon thereafter died of a suspected intentional drug overdose.<br>Many in the community believe Areej's actions directly contributed to Canyon's death.<br>THESE are the ""friends"" my ex keeps.</p>
<p>Anywho... this type of leftist infighting, is the worst portlandia coded telenovela ever.<br>I've NEVER posted anything at all publicly about Areej till now.<br>Areej did contact me 2years ago with some infighting, which I immediately DECLINED to be involved with.<br>I had a few private &amp; community conversations about the issues they raised to ensure a restorative justice process had or would occur.<br>One had occured and had plenty of support so I bowed out.<br>This had been the extent of our contact.</p>
<p>At the time I bowed out I warned the community against cyber bullying especially 3rd parties to the initial interpersonal conflict.<br>This warning was directed to Areej, I felt their cyber bullying ON top of the already existing decisions in their favor was in poor taste.<br>I especially felt Areej doxxing the restorative justice committee/mediators DURING the process was actively abusive.<br>I warned specifically about the likelihood of Areej's victims self harming being a real risk.</p>","<p>Вне суда бесконечный поток летающих обезьян доксил, травил и угрожал мне и всем, кого они считают хоть как-то, в любой форме, «помогавшими» мне.<br>Одна из этих летающих обезьян — тиктокерша Areej ""liberationluvr"" Hakim, которая налетела на публичные посты моего бывшего, и знает его лично.<br>Я заново выложу несколько их видео обо мне с CW.<br>Но я хочу ясно дать понять, насколько сильно эти люди хотят стереть меня и мои немногие достижения.<br>Вот вам жестокие угрозы в адрес свидетеля по моему делу.</p>
<p>Эта тиктокерша сделала своей ОСНОВНОЙ темой попытки доксить меня, моих друзей и особенно свидетелей моего незаконного выселения.<br>В видео обо мне они пытаются выставить меня «не активисткой», «не хакершей» и «просто мошенницей».<br>ВСЁ потому, что мой бывший решил, будто делить счета во время расставания — это домашнее насилие.<br>А потом они называют свою бесконечную онлайн-травлю и охоту на меня «активизмом» и собирают деньги на МОЕЙ боли и моём судебном процессе.<br>#РодительствоБудучиЧёрной</p>
<p>Areej ""solidarityluvr"" у нас в городе хорошо известна тем, что выкладывает в TikTok, как она сталкерит + травит нескольких своих бывших, и всё это у себя в TikTok+IG.<br>Areej брызнула из баллончика в транс-библиотекаря Canyon ПРЯМО НА КАМЕРУ, когда та выходила с работы, вероятно потому, что Canyon пришлось соблюдать БАЗОВЫЕ правила библиотеки.<br>После этого Areej месяцами кибербуллила Canyon.<br>Вскоре после этого Canyon умерла от предположительно умышленной передозировки наркотиками.<br>Многие в сообществе считают, что действия Areej напрямую способствовали смерти Canyon.<br>ВОТ с какими «друзьями» водится мой бывший.</p>
<p>Короче... такие левацкие междоусобчики — это худшая теленовелла в стиле Portlandia на свете.<br>Я НИКОГДА до этого вообще ничего публично про Areej не постила.<br>2 года назад Areej действительно связывалась со мной из-за какой-то внутренней грызни, но я сразу ОТКАЗАЛАСЬ в это лезть.<br>У меня было несколько частных и общественных разговоров о поднятых ими проблемах, чтобы убедиться, что процесс восстановительного правосудия уже был или будет проведён.<br>Один такой процесс уже состоялся и получил достаточную поддержку, так что я отошла в сторону.<br>На этом наше общение и заканчивалось.</p>
<p>В то время, когда я отошла в сторону, я предупреждала сообщество о недопустимости кибербуллинга, особенно в адрес третьих лиц, не участвовавших в исходном межличностном конфликте.<br>Это предупреждение было адресовано Areej: я считала, что их кибербуллинг ВДОБАВОК к уже принятым в их пользу решениям — это отвратительно.<br>Особенно я считала, что доксинг Areej в адрес комитета/медиаторов восстановительного правосудия ВО ВРЕМЯ самого процесса был откровенно абьюзивным.<br>Я отдельно предупреждала, что риск самоповреждения у жертв Areej вполне реален.</p>","<p>Вне суда нескончаемый поток «летающих обезьян» доксил, травил и угрожал мне и всем, кого они считают хоть как-то мне «помогавшими».<br>Одна из этих «летающих обезьян» — тиктокерша Areej ""liberationluvr"" Hakim, которая налетела в публичные посты моего бывшего и при этом знает его лично.<br>Я заново выложу несколько их видео обо мне с CW.<br>Но я хочу чётко показать, насколько сильно эти люди хотят стереть меня и мои немногие достижения.<br>А вот и угрозы расправой в адрес свидетеля по моему делу.</p>
<p>Эта тиктокерша сделала попытки доксить меня, моих друзей и особенно свидетелей моего незаконного выселения своей ГЛАВНОЙ темой контента.<br>В видео обо мне они пытаются выставить меня «не активисткой», «не хакершей» и «просто мошенницей».<br>И ВСЁ это потому, что мой бывший решил, будто делёжка счетов во время расставания — это домашнее насилие.<br>А потом они называют эту бесконечную онлайн-травлю толпой, которая гоняется за мной, «активизмом» и собирают деньги на МОЕЙ боли и моём судебном процессе.<br>#РодительствоБудучиЧёрной</p>
<p>Areej ""solidarityluvr"" у нас в городе известна тем, что выкладывает в TikTok, как она сталкерит и травит нескольких своих бывших — и всё это у себя в tiktok+IG.<br>Areej брызнула из перцового баллончика в транс-библиотекарку Canyon ПРЯМО НА КАМЕРУ, когда та выходила с работы, скорее всего потому, что Canyon пришлось следить за соблюдением БАЗОВЫХ библиотечных правил.<br>После этого Areej ещё месяцами кибербуллила Canyon.<br>Вскоре после этого Canyon умерла от предположительно намеренной передозировки наркотиками.<br>Многие в сообществе считают, что действия Areej напрямую поспособствовали смерти Canyon.<br>ВОТ с какими «друзьями» водится мой бывший.</p>
<p>Короче... такие левацкие внутренние разборки — это худшая теленовелла с вайбом Portlandia из всех возможных.<br>До этого момента я НИКОГДА вообще ничего публично про Areej не постила.<br>Areej действительно связывалась со мной 2 года назад из-за каких-то внутренних разборок, но я сразу ОТКАЗАЛАСЬ в это ввязываться.<br>У меня было несколько личных и общественных разговоров о поднятых ими проблемах, чтобы убедиться, что процесс восстановительного правосудия уже прошёл или будет проведён.<br>Один такой процесс уже состоялся и получил достаточную поддержку, так что я отошла в сторону.<br>Этим, по сути, всё наше общение и ограничилось.</p>
<p>Тогда, когда я отошла в сторону, я предупредила сообщество о вреде кибербуллинга, особенно в отношении третьих лиц, не участвовавших в изначальном межличностном конфликте.<br>Это предупреждение было адресовано Areej: я считала, что их кибербуллинг ПОВЕРХ уже принятых в их пользу решений — это просто мерзко.<br>Особенно я считала, что то, как Areej доксила комитет/медиаторов восстановительного правосудия ПРЯМО ВО ВРЕМЯ процесса, было откровенно абьюзивно.<br>Я отдельно предупреждала, что риск того, что жертвы Areej могут нанести себе вред, был вполне реальным.</p>",,
best-pair-0002,44731-rus_Cyrl,"And, um, it put my kids through private school, you know?
I am eternally grateful.
You're always in my way.
What are you doing?
Um, and, uh, all of that.
I truly am grateful.
But at the time, I complained a lot.
You know, I want to be home with my kids.
And here I was with these lovely kids, but they weren't mine.
So.","И, ну, знаешь, это позволило моим детям учиться в частной школе.
Я бесконечно за это благодарна.
Ты вечно путаешься у меня под ногами.
Что ты делаешь?
Ну, и всё такое.
Я правда очень благодарна.
Но тогда я много жаловалась.
Знаешь, мне хотелось быть дома со своими детьми.
А я была рядом с этими чудесными детьми, но они были не мои.
Вот так.","И, знаешь, благодаря этому мои дети смогли учиться в частной школе.
Я бесконечно за это благодарна.
Ты вечно мне мешаешь.
Что ты делаешь?
Ну, и всё такое.
Я правда очень благодарна.
Но тогда я много жаловалась.
Знаешь, мне хотелось быть дома со своими детьми.
А я была рядом с этими чудесными детьми, но они были не моими.
Вот так.",,
best-pair-0003,44636-rus_Cyrl,"Hey, what is going on up there?
Um, I'm sorry, I, I just shorted out part of my body.
It's very dark in here.
Sonar, mistress of the macabre is in need of power.
Just let me get a flashlight, and, uh, then I'll.
Okay, so I'll just need to check the, uh.
Hello, madame.
Sonar.","Эй, что у вас там наверху происходит?
Извините, я просто закоротила часть своего тела.
Здесь очень темно.
Sonar, повелительнице мрачного, нужна энергия.
Дайте мне только взять фонарик, и тогда я...
Ладно, мне просто нужно проверить...
Здравствуйте, мадам.
Sonar.","Эй, что у вас там происходит?
Извините, я просто закоротила часть своего тела.
Здесь очень темно.
Сонар, повелительнице мрака, нужна энергия.
Дайте мне только взять фонарик, и тогда я...
Ладно, мне просто нужно проверить...
Здравствуйте, мадам.
Сонар.",,
best-pair-0004,44626-rus_Cyrl,"<p>On a lighter note, just saw someone complaining about when games beg you to switch to easy mode when you fail.<br>I also hate this.<br>I love having an easy mode. Hell, I think games should just fuckin' let you cheat, as long as competitions all have agreed-on rules about it.<br>But every game that's pestered me into easy mode has been an instant put-down. I have plenty of games to play, if you want me to be done faster, congrats, I'm done faster.</p>
<p>This is what makes modern Marios - modern-ish anyway - so impossible for me to play.<br>""Did you die thwee times mawwio? Here's the golden supersuit of invincibility because you suck! If you don't want it, just carefully avoid ever pressing anything besides ""start level yes again no no nothing else just start the level"".<br>This is also why I stopped trying to play Phantom Pain. Whenever I died, it'd offer me the chicken hat and default to ""yes"", eventually I forgot to manually say ""fuck off"".</p>
<p>I get it's a retention thing, but it's so disrespectful.<br>Autoscaling difficulty also pisses me off, because I'll be gearing up for a challenge and then the game will panic and lower it to super easy because I've been ""struggling"".<br>I'll die or something, go back to try again, but nope, now the challenge is gone. You succeeded! You made the game go away! Don't worry, those challenges were for someone else. Someone better.<br>I can't remember if I ever completed a game with autoscaling difficulty.</p>
<p>I guess the basic difference between me and their target audience is that I like to figure out how to do something, while their target audience - at least in their heads - likes to take a log flume through a Disneyworld attraction.<br>A little jostling, a little fluids, but don't worry, baby, daddy Walt's got ya. You're safey-wafe, you don't even have to move, just sit there and tee hee, here's a wittle splashy-splash.<br>If I wanted that, I'd go sit in a fucking dog park and pet a dog.</p>","<p>Если о чём-то полегче, только что видел, как кто-то жаловался на игры, которые начинают упрашивать тебя переключиться на лёгкий режим, когда ты фейлишься.<br>Меня это тоже бесит.<br>Мне нравится, когда есть лёгкий режим. Да блин, я вообще считаю, что игры должны, нахрен, разрешать читерить, если в соревновательных режимах у всех заранее оговорены правила на этот счёт.<br>Но каждая игра, которая доставала меня предложениями перейти на лёгкий режим, мгновенно отбивала всё желание играть. У меня и так полно игр, если вы хотите, чтобы я закончил побыстрее — поздравляю, я закончил побыстрее.</p>
<p>Вот из-за этого мне и невозможно играть в современные Mario — ну, более-менее современные, по крайней мере.<br>«Ты умер тви раза, Мавио? Вот тебе золотой супер-костюм неуязвимости, потому что ты лох! А если не хочешь его, то просто очень аккуратно вообще ничего не нажимай, кроме “начать уровень”, да, снова, нет, нет, ничего больше, просто начни уровень».<br>Из-за этого же я перестал пытаться играть в Phantom Pain. Каждый раз, когда я умирал, мне предлагали куриную шапку и по умолчанию ставили «да», и в какой-то момент я просто забыл вручную нажать «отъебитесь».</p>
<p>Я понимаю, что это всё ради удержания игрока, но это так неуважительно.<br>Автоподстройка сложности тоже меня выбешивает, потому что я могу уже настроиться на челлендж, а потом игра в панике снижает всё до супер-изи, потому что я, видите ли, «испытываю трудности».<br>Я умру там или ещё что-нибудь, вернусь попробовать снова — но нет, теперь никакого челленджа уже нет. Успех! Вы сделали так, что игра просто исчезла! Не переживай, эти испытания были для кого-то другого. Кого-то получше.<br>Не помню, проходил ли я вообще хоть одну игру с автоподстройкой сложности до конца.</p>
<p>Думаю, базовая разница между мной и их целевой аудиторией в том, что мне нравится самому разбираться, как что-то сделать, а их целевая аудитория — по крайней мере в их представлении — любит просто плыть по течению, как по аттракциону в Диснейленде.<br>Немного потрясёт, немного брызг, но не переживай, малыш, папочка Уолт о тебе позаботится. Ты в полной безопасеньке, тебе даже шевелиться не надо, просто сиди и хи-хи, вот тебе ещё немножко брызг-плюх.<br>Если бы я хотел такого, я бы, блядь, пошёл в собачий парк гладить собак.</p>","<p>Если уж о чём-то полегче: только что видел, как кто-то жаловался на игры, которые, когда у тебя не получается, начинают умолять переключиться на лёгкий режим.<br>Меня это тоже бесит.<br>Мне вообще нравится, когда в игре есть лёгкий режим. Да блин, я вообще считаю, что игры должны просто, мать его, позволять тебе читерить — лишь бы в соревновательных режимах у всех были заранее оговорены одинаковые правила.<br>Но любая игра, которая начинала меня доставать предложениями перейти на лёгкий, сразу вызывала отторжение. У меня и так полно игр; если вы хотите, чтобы я закончил побыстрее, поздравляю — я закончил побыстрее.</p>
<p>Именно из-за этого мне так невозможно играть в современные Mario — ну, более-менее современные.<br>«Ты умеель тьи рязика, Мааарио? Вот тебе золотой супер-костюм неуязвимости, потому что ты отстой! А если не хочешь его, просто смотри случайно не нажми ничего, кроме “начать уровень”, да, снова, нет, нет, вообще больше ничего, просто начни уровень».<br>Из-за этого же я и бросил попытки играть в Phantom Pain. Каждый раз, когда я умирал, мне предлагали куриную шапку, и по умолчанию там стояло «да», и в какой-то момент я просто забыл вручную выбрать «отъебитесь».</p>
<p>Я понимаю, что это всё ради удержания игрока, но это так неуважительно.<br>Автоподстройка сложности тоже бесит меня до чёртиков, потому что я уже настраиваюсь на челлендж, а игра вдруг в панике всё скидывает до суперлёгкого, потому что я, видите ли, «мучаюсь».<br>Я умираю или ещё что-то, возвращаюсь попробовать снова — а нет, челленджа уже нет. У вас получилось! Вы убрали из игры саму игру! Не переживай, эти испытания были для кого-то другого. Для кого-то получше.<br>Я даже не помню, проходил ли я хоть одну игру с автоподстройкой сложности до конца.</p>
<p>Наверное, главное различие между мной и их целевой аудиторией в том, что мне нравится самому понимать, как что-то сделать, а их целевая аудитория — по крайней мере в их представлении — любит просто плыть на брёвнышке по аттракциону в Disneyworld.<br>Чутка потрясёт, чутка обольёт, но не бойся, малыш, папочка Уолт тебя прикроет. Ты в полнейшей безопасочке, тебе даже двигаться не надо, просто сиди и хи-хи, вот тебе ещё маленький плюх-плюх.<br>Если бы мне хотелось такого, я бы просто пошёл, блядь, в собачий парк и гладил там собаку.</p>",,
best-pair-0005,44645-rus_Cyrl,"And I've also just received something that was long overdue.
And that is a new desk because my desk is falling apart.
It is so wonky.
So I received a new desk from Flexispot.
User manual.
We don't need instructions.
I just have a quick look at it.
Don't be embarrassed.
You can use the manual.
I'm here against my will.","И ещё я только что получил кое-что, что давно уже пора было получить.
А именно новый стол, потому что мой старый уже разваливается.
Он такой шаткий.
Так что мне приехал новый стол от Flexispot.
Инструкция пользователя.
Да нам инструкция не нужна.
Я только быстро на неё посмотрю.
Да не стесняйся.
Можешь пользоваться инструкцией.
Я здесь против своей воли.","И ещё я только что получил то, что давно уже должен был получить.
А именно новый стол, потому что мой старый буквально разваливается.
Он такой шаткий и кривой.
Так что мне пришёл новый стол от Flexispot.
Руководство пользователя.
Да нам инструкция не нужна.
Я только одним глазком на неё взгляну.
Да не стесняйся.
Можешь пользоваться инструкцией.
Я здесь против своей воли.",,
best-pair-0006,44661-rus_Cyrl,"Ryan, if you ever feel like you're losing hope and you need a little Christmas miracle, just dial S for Santa.
Ryan, grandma needs you.
Okay, Alana.
I'll be back.
Santa.
It's one thing to fill his head with nonsense about the North Pole, but dial S for Santa.","Райан, если вдруг почувствуешь, что теряешь надежду и тебе нужно маленькое рождественское чудо, просто набери S for Santa.
Райан, ты нужен бабушке.
Хорошо, Алана.
Я вернусь.
Санта.
Одно дело — забивать ему голову всякой ерундой про Северный полюс, но S for Santa — это уже слишком.","Райан, если тебе вдруг покажется, что ты теряешь надежду и тебе нужно маленькое рождественское чудо, просто набери «S for Santa».
Райан, ты нужен бабушке.
Хорошо, Алана.
Я скоро вернусь.
Санта.
Одно дело — забивать ему голову всякой ерундой про Северный полюс, но «S for Santa» — это уже слишком.",,
best-pair-0007,44754-rus_Cyrl,"<p>US bound Thompson stars as Galway reach FBD final</p>
<p>California-bound Matthew Thompson lashed home 2-06 as Galway overcame Leitrim by 11 points in Tuam to book their spot in next week's FBD League decider.</p>
<p>2025 Young Footballer of the Year nominee Thompson will be out of action for the entirety of the league and the early part of the championship, with Padraic Joyce confirming that the Salthill-Knocknacarra players is studying in Berkeley for the upcoming semester.</p>
<p>He was the leading figure on a largely experimental Galway side - which also contained Cian Hernon and Kieran Molloy - as they came from three points down at half-time to beat Leitrim.</p>
<p>Thompson buried a goal in the top corner in the first half but the Connacht champions trailed Leitrim at the break, Killian Gaffney proving effective from placed balls, while Ryan O'Rourke and Jack Kelly also landed points.</p>
<p>Galway manager Padraic Joyce remonstrates with the referee over a decision</p>
<p>However, with Thompson converting a second half penalty, Galway eased home after the interval, with 10 different scorers overall as they ran out 2-19 to 0-14 winners.</p>
<p>After two rounds of the FBD League, the top two progress to next week's final, with Galway facing the winner of tomorrow's Roscommon-Mayo tie.</p>
<p>In Leinster, Westmeath have booked their spot in the O'Byrne Cup final after an 11-point win over Offaly in a goal-fest in Mullingar.</p>
<p>Waiting for them in the decider is a Kildare outfit that defeated Dublin 1-22 to 1-13.</p>
<p>Mark McHugh's Westmeath side advanced ahead of reigning champions Longford following a coin toss last Saturday but they impressed on the field of play on Saturday.</p>
<p>A brace of goals apiece from Danny McCarton and Brandon Kelly, plus another from Senan Baker, saw them run out 5-10 to 2-08 winners.</p>
<p>Ciaran Murphy scored two goals either side of half-time to pull the visitors back into the contest, the margin being briefly reduced to three points 11 minutes into the second half.</p>
<p>However, an unanswered burst of 3-02 over the next 15 minutes saw the hosts settle the contest in an emphatic manner.</p>
<p>Kildare found their feet in the second half against Dublin and now are one game away from a first O'Byrne Cup since 2014.</p>
<p>Harry O'Neill fires to the net for Kildare</p>
<p>Both management teams experimented in Newbridge with Dublin in particular shorn of overly familiar faces, but in the first half it seemed to matter little as they led 1-08 to 0-08 at the break.</p>
<p>Jamie McCarville palmed home their goal but it was Clyde Burke who caught the eye for the travelling support with some brilliant shooting that included two orange flags - the second of which was of the highest quality.</p>
<p>Alex Beirne was racking up the scores for the Lilywhites though and his two-point free early in the second half kick-started a run of 1-05 without reply, Harry O'Neill with the goal in the 43rd minute.</p>
<p>Kildare continued to turn the screw with James Harris' late two-pointer sending them on their way.</p>","<p>Томпсон, отправляющийся в США, стал героем матча, а Голуэй вышел в финал FBD</p>
<p>Мэттью Томпсон, которому вскоре предстоит отъезд в Калифорнию, набрал 2-06, а Голуэй в Туаме обыграл Литрим с разницей в 11 очков и обеспечил себе место в финале Лиги FBD на следующей неделе.</p>
<p>Номинант на звание «Молодой футболист года — 2025» Томпсон пропустит весь турнир и начальную часть чемпионата: Падраик Джойс подтвердил, что игрок клуба Salthill-Knocknacarra в предстоящем семестре будет учиться в Беркли.</p>
<p>Именно он был ключевой фигурой в во многом экспериментальном составе Голуэя, в который также вошли Киан Хернон и Киран Моллой: уступая три очка к перерыву, команда сумела переломить ход встречи и победить Литрим.</p>
<p>В первом тайме Томпсон отправил мяч в верхний угол ворот, однако к перерыву чемпионы Коннахта уступали Литриму: Киллиан Гаффни уверенно исполнял стандарты, а Райан О'Рурк и Джек Келли также набрали очки.</p>
<p>Главный тренер Голуэя Падраик Джойс спорит с арбитром из-за одного из решений</p>
<p>Однако после перерыва, когда Томпсон реализовал пенальти во втором тайме, Голуэй спокойно довёл матч до победы. Очки у команды в общей сложности набрали 10 разных игроков, и встреча завершилась со счётом 2-19 против 0-14.</p>
<p>После двух туров Лиги FBD в финал следующей недели выходят две лучшие команды, и Голуэй сыграет с победителем завтрашнего матча между Роскоммоном и Мейо.</p>
<p>В Ленстере Уэстмит обеспечил себе место в финале Кубка О'Бирна, победив Оффали в Маллингаре с разницей в 11 очков в сверхрезультативном матче.</p>
<p>В решающем матче их уже ждёт Килдэр, который обыграл Дублин со счётом 1-22 против 1-13.</p>
<p>Команда Уэстмита под руководством Марка Макхью прошла дальше действующего чемпиона Лонгфорда после подбрасывания монеты в прошлую субботу, но и на поле в субботнем матче выглядела весьма убедительно.</p>
<p>По два гола от Дэнни Маккартона и Брэндона Келли, а также ещё один мяч от Сенана Бейкера принесли хозяевам победу со счётом 5-10 против 2-08.</p>
<p>Киаран Мерфи забил два гола по обе стороны перерыва, вернув гостей в игру, и на 11-й минуте второго тайма отставание ненадолго сократилось до трёх очков.</p>
<p>Однако затем хозяева выдали безответный отрезок 3-02 за следующие 15 минут и убедительно сняли все вопросы о победителе.</p>
<p>Во втором тайме матча с Дублином Килдэр нащупал свою игру и теперь находится в шаге от первого Кубка О'Бирна с 2014 года.</p>
<p>Харри О'Нилл отправляет мяч в сетку за Килдэр</p>
<p>В Ньюбридже оба тренерских штаба экспериментировали с составами, причём у Дублина особенно не хватало привычных лиц, однако в первом тайме это, казалось, почти не сказалось на игре, и к перерыву команда вела 1-08 против 0-08.</p>
<p>Джейми Маккарвилл ладонью переправил мяч в сетку, забив гол своей команды, однако именно Клайд Бёрк привлёк внимание приехавших болельщиков великолепной реализацией, в том числе двумя двухочковыми ударами — второй из них был по-настоящему выдающимся.</p>
<p>Однако у «Лилиуайтс» очки стабильно набирал Алекс Бейрн, и его двухочковый штрафной в начале второго тайма положил начало безответному рывку 1-05, а гол на 43-й минуте забил Харри О'Нилл.</p>
<p>Килдэр продолжил наращивать давление, а поздний двухочковый Джеймса Харриса окончательно вывел команду к победе.</p>","<p>Томпсон, уезжающий в США, стал героем матча, а Голуэй вышел в финал FBD</p>
<p>Отправляющийся в Калифорнию Мэттью Томпсон набрал 2-06, а Голуэй в Туаме обыграл Литрим с разницей в 11 очков и обеспечил себе место в финале Лиги FBD на следующей неделе.</p>
<p>Номинант на звание «Молодой футболист года — 2025» Томпсон пропустит весь розыгрыш лиги и начальную часть чемпионата: Падраик Джойс подтвердил, что игрок Salthill-Knocknacarra в предстоящем семестре будет учиться в Беркли.</p>
<p>Именно он стал главным действующим лицом в во многом экспериментальном составе Голуэя, в котором также появились Киан Хернон и Киран Моллой, когда команда, уступая три очка к перерыву, сумела переломить ход встречи и победить Литрим.</p>
<p>В первом тайме Томпсон вколотил мяч в верхний угол ворот, однако к перерыву чемпионы Коннахта уступали Литриму: Киллиан Гаффни был точен при исполнении стандартов, а Райан О'Рурк и Джек Келли тоже набрали очки.</p>
<p>Главный тренер Голуэя Падраик Джойс спорит с арбитром из-за одного из решений</p>
<p>Однако после перерыва, когда Томпсон реализовал пенальти во втором тайме, Голуэй без особых проблем довёл матч до победы: всего у команды отличились 10 разных игроков, и она выиграла со счётом 2-19 против 0-14.</p>
<p>По итогам двух туров Лиги FBD две лучшие команды выходят в финал следующей недели, где Голуэй встретится с победителем завтрашнего матча Роскоммон — Мейо.</p>
<p>В Ленстере Уэстмит обеспечил себе место в финале Кубка О'Бирна, обыграв Оффали в Маллингаре с преимуществом в 11 очков в результативном матче.</p>
<p>В решающем матче их ждёт Килдэр, который победил Дублин со счётом 1-22 против 1-13.</p>
<p>Команда Уэстмита под руководством Марка Макхью вышла дальше, опередив действующего чемпиона Лонгфорд после жеребьёвки с подбрасыванием монеты в прошлую субботу, но и на поле в субботу произвела сильное впечатление.</p>
<p>По два гола от Дэнни Маккартона и Брэндона Келли, а также ещё один мяч от Сенана Бейкера принесли команде победу со счётом 5-10 против 2-08.</p>
<p>Киаран Мерфи забил по голу до и после перерыва, вернув гостей в игру, и на 11-й минуте второго тайма отставание ненадолго сократилось до трёх очков.</p>
<p>Однако затем хозяева выдали безответный отрезок 3-02 в течение следующих 15 минут и убедительно сняли все вопросы о победителе.</p>
<p>Во втором тайме матча с Дублином Килдэр прибавил и теперь находится в одном шаге от первого Кубка О'Бирна с 2014 года.</p>
<p>Харри О'Нилл отправляет мяч в сетку за Килдэр</p>
<p>В Ньюбридже оба тренерских штаба экспериментировали с составами, причём у Дублина особенно не хватало привычных лиц, однако в первом тайме это, казалось, не имело большого значения, и к перерыву команда вела 1-08 против 0-08.</p>
<p>Джейми Маккарвилл ладонью переправил мяч в сетку, забив гол своей команды, но именно Клайд Бёрк привлёк внимание приехавших болельщиков великолепными ударами, среди которых были и два двухочковых — особенно высокого уровня оказался второй.</p>
<p>Тем не менее у «Лилиуайтс» главным бомбардиром был Алекс Бейрн, и именно его двухочковый штрафной в начале второго тайма положил начало безответному рывку 1-05, а на 43-й минуте отличился Харри О'Нилл.</p>
<p>Килдэр продолжил наращивать давление, а поздний двухочковый Джеймса Харриса окончательно направил команду к победе.</p>",,
best-pair-0008,44735-rus_Cyrl,"Maybe you'll have to.
Paul, please.
Everything's settled.
You're going to theological school tomorrow and you're going in that suit.
Gary.
Theodore.
The way it's mended, no one would ever notice.
It was torn.
I'll know it.
I don't see what difference that makes as long as nobody else does.","Может, придётся.
Пол, пожалуйста.
Всё решено.
Завтра ты идёшь в духовную семинарию и пойдёшь в этом костюме.
Гэри.
Теодор.
Так зашито, что никто ничего не заметит.
Он был порван.
Но я-то буду знать.
Не понимаю, какая разница, если больше никто этого не заметит.","Может, придётся.
Пол, пожалуйста.
Всё уже решено.
Завтра ты идёшь в духовную школу, и пойдёшь ты в этом костюме.
Гэри.
Теодор.
Он так аккуратно заштопан, что никто ничего не заметит.
Он был порван.
Но я-то буду об этом знать.
Не понимаю, какая разница, если больше никто этого не заметит.",,
best-pair-0009,44620-rus_Cyrl,"The last time I was out here, you could see 27 miles across northwest Alabama.
You getting tired of the view?
No.
The trouble is that the birds keep on flying into the glass because they can't see it and break their wings.
Well, why don't you just throw an old fishnet over the window?
That way you'd have your view and your birds.
Well, I just guess and calculate.
I never thought of it.
You know, I swear, if a fly was to bust his leg, he'd come running with a splint.","В прошлый раз, когда я здесь был, отсюда было видно миль на двадцать семь — через весь северо-запад Алабамы.
Тебе этот вид не надоел?
Нет.
Беда в том, что птицы всё время бьются о стекло, потому что не видят его, и ломают себе крылья.
Ну так почему бы тебе просто не накинуть на окно старую рыболовную сеть?
И вид останется, и птицы будут целы.
Ну, я просто прикидываю да подсчитываю.
Мне это в голову не приходило.
Знаешь, клянусь, если бы муха сломала лапку, он бы уже примчался с шиной.","В прошлый раз, когда я здесь был, отсюда было видно на двадцать семь миль через весь северо-запад Алабамы.
Тебе ещё не надоел этот вид?
Нет.
Беда в том, что птицы всё время врезаются в стекло, потому что не видят его, и ломают себе крылья.
Ну так почему бы тебе просто не накинуть на окно старую рыболовную сеть?
Тогда и вид у тебя останется, и птицы будут целы.
Ну, я так, на глаз прикидываю.
Мне это и в голову не приходило.
Знаешь, клянусь, если бы муха сломала лапку, он бы примчался с шиной.",,
